Federal Provider Number,Provider Name,Provider State,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Location,Processing Date
05A213,SONOMA DEVELOPMENTAL CENTER D/P SNF,CA,5,,3,,5,,4,,5,,"1493 ELDRIDGE
CA 95431
",02/01/2017
065264,WALBRIDGE MEMORIAL CONVALESCENT WING,CO,3,,2,,2,,5,,5,,"100 PIONEERS MEDICAL CENTER DRIVE
MEEKER, CO 81641
",02/01/2017
065309,WASHINGTON COUNTY NURSING HOME,CO,5,,4,,3,,5,,5,,"676 W GREENHOUSE DRIVE
AKRON, CO 80720
",02/01/2017
065420,CASTLE PEAK SENIOR LIFE AND REHABILITATION,CO,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"195 FREESTONE ROAD
EAGLE, CO 81631
",02/01/2017
06A190,SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,CO,5,,4,,5,,5,,5,,"23500 U S HIGHWAY
WALSENBURG, CO 81089
",02/01/2017
075251,TOUCHPOINTS AT FARMINGTON,CT,4,,4,,3,,3,,3,,,02/01/2017
075267,CROSSINGS WEST HEALTH AND REHABILITATION CENTER,CT,4,,3,,4,,4,,4,,"89 VIETS ST EXT
NEW LONDON, CT 06320
",02/01/2017
075293,JEFFERSON HOUSE,CT,5,,4,,5,,4,,5,,"ONE JOHN STEWART DR
NEWINGTON, CT 06111
",02/01/2017
075366,HAMDEN REHABILITATION & HEALTH CARE CENTER,CT,4,,4,,4,,4,,4,,"1270 SHERMAN LANE
HAMDEN, CT 06514
",02/01/2017
075390,BEACON BROOK HEALTH CENTER,CT,4,,3,,2,,4,,4,,"89 WIED DRIVE
NAUGATUCK, CT 06770
",02/01/2017
095039,UNITED MEDICAL NURSING HOME,DC,2,,1,,5,,4,,4,,,02/01/2017
105458,SIGNATURE HEALTHCARE OF ORMOND,FL,3,,3,,5,,1,,1,,"103 NORTH CLYDE MORRIS BLVD
ORMOND BEACH, FL 32174
",02/01/2017
105549,CONSULATE HEALTH CARE OF SAFETY HARBOR,FL,3,,2,,3,,4,,4,,"1410 DR MARTIN LUTHER KING JR ST N
SAFETY HARBOR, FL 34695
",02/01/2017
105743,FLEET LANDING,FL,5,,5,,5,,4,,4,,"ONE FLEET LANDING BLVD
ATLANTIC BEACH, FL 32233
",02/01/2017
105851,STRATFORD COURT OF BOCA RATON,FL,3,,3,,3,,3,,3,,"6343 VIA
BOCA RATON, FL 33433
",02/01/2017
106045,BRYNWOOD HEALTH AND REHABILITATION CENTER,FL,5,,5,,4,,4,,3,,"1656 SOUTH JEFFERSON STREET
MONTICELLO, FL 32344
",02/01/2017
106089,KEY WEST HEALTH AND REHABILITATION CENTER,FL,3,,2,,2,,4,,5,,"5860 W JUNIOR COLLEGE RD
KEY WEST, FL 33040
",02/01/2017
106095,CLUB HEALTH AND REHABILITATION CENTER AT THE VILLA,FL,5,,4,,5,,4,,4,,"16529 SE 86TH BELLE MEADE CIRCLE
THE VILLAGES, FL 32162
",02/01/2017
106096,"PAVILION FOR HEALTH CARE, THE",FL,4,,3,,3,,5,,5,,"ONE PAVILION PLACE
PENNEY FARMS, FL 32079
",02/01/2017
115099,HABERSHAM HOME,GA,4,,3,,5,,3,,3,,"441 NORTH BOX
DEMOREST, GA 30535
",02/01/2017
115271,EARLY MEMORIAL NURSING HOME,GA,2,,2,,4,,2,,1,,"11740 COLUMBIA ROAD
BLAKELY, GA 39823
",02/01/2017
115273,DOUGLASVILLE NURSING AND REHABILITATION CENTER,GA,2,,3,,2,,1,,1,,"4028 HWY
DOUGLASVILLE, GA 30135
",02/01/2017
115275,"A.G. RHODES HOME, INC, THE",GA,5,,4,,5,,2,,1,,"350 BOULVARD
ATLANTA, GA 30312
",02/01/2017
115363,ROME HEALTH AND REHABILITATION CENTER,GA,5,,4,,5,,2,,2,,"1345 REDMOND ROAD
ROME, GA 30165
",02/01/2017
115418,PRUITTHEALTH - FORSYTH,GA,4,,4,,3,,2,,3,,"521 CABINESS ROAD
FORSYTH, GA 31029
",02/01/2017
115480,GLENN-MOR NURSING HOME,GA,2,,3,,1,,2,,2,,"10629 U S HIGHWAY
THOMASVILLE, GA 31792
",02/01/2017
115546,SAVANNAH SQUARE HEALTH CENTER,GA,3,,3,,2,,3,,2,,"ONE SAVANNAH SQUARE DRIVE
SAVANNAH, GA 31406
",02/01/2017
115552,"LODGE, THE",GA,2,,2,,2,,3,,2,,"200 SOUTH KIMBERLY ROAD
WARNER ROBINS, GA 31088
",02/01/2017
115556,"BRIGHTMOOR HEALTH CARE, INC",GA,3,,3,,5,,1,,1,,"3235 NEWMAN ROAD
GRIFFIN, GA 30224
",02/01/2017
115644,KEYSVILLE NURSING HOME & REHAB CENTER,GA,1,,1,,3,,3,,3,,"1005 HWY
KEYSVILLE, GA 30816
",02/01/2017
365956,KENDAL AT OBERLIN,OH,5,,4,,5,,5,,5,,"600 KENDAL DRIVE
OBERLIN, OH 44074
(41.301768, -82.213891)",02/01/2017
115703,GLENWOOD HEALTHCARE,GA,3,,4,,1,,3,,2,,"41 NORTH 5TH AVENUE
GLENWOOD, GA 30428
",02/01/2017
115708,CHURCH HOME REHABILITATION AND HEALTHCARE,GA,5,,4,,5,,4,,3,,"2470 HWY
FORT VALLEY, GA 31030
",02/01/2017
115723,SALUDE - THE ART OF RECOVERY,GA,4,,4,,4,,4,,4,,"601 NORTH HOLT PARKWAY
SUWANEE, GA 30024
",02/01/2017
125021,KAUAI VETERANS MEMORIAL HOSPITAL,HI,5,,4,,5,,5,,5,,"337 WAIMEA
HI 96796
",02/01/2017
125030,KAHUKU MEDICAL CENTER,HI,2,,2,,,Data Not Available,,Data Not Available,,Data Not Available,"56 117 PUALALEA STREET
KAHUKU, HI 96731
",02/01/2017
125031,KOHALA HOSPITAL,HI,4,,3,,3,,5,,5,,"54 383 HOSPITAL ROAD
KAPAAU, HI 96755
",02/01/2017
125032,HALE HO'OLA HAMAKUA,HI,5,,4,,5,,5,,5,,"45 547 PLUMERIA STREET
HONOKAA, HI 96727
",02/01/2017
125033,HARRY AND JEANETTE WEINBERG CARE CENTER,HI,5,,3,,5,,5,,5,,"45 090 NAMOKU ST
KANEOHE, HI 96744
",02/01/2017
125051,KA PUNAWAI OLA,HI,4,,3,,5,,3,,5,,"91 575 FARRINGTON HIGHWAY
KAPOLEI, HI 96707
",02/01/2017
125052,LIFE CARE CENTER OF KONA,HI,5,,4,,5,,3,,5,,"78 6957 KAMEHAMEHA III ROAD
KAILUA KONA, HI 96740
",02/01/2017
135098,VALLEY VIEW NURSING & REHABILITATION,ID,4,,2,,5,,4,,5,,"1140 NORTH ALLUMBAUGH STREET
BOISE, ID 83704
",02/01/2017
145070,COURTYARD HEALTHCARE CENTER,IL,2,,2,,2,,2,,2,,"3601 SOUTH HARLEM AVENUE
BERWYN, IL 60402
",02/01/2017
145173,HEATHER HEALTH CARE CENTER,IL,1,,2,,3,,1,,1,,"15600 SOUTH HONORE STREET
HARVEY, IL 60426
",02/01/2017
145424,GLENSHIRE NURSING & REHAB CTRE,IL,1,,1,,2,,2,,4,,"22660 SOUTH CICERO AVENUE
RICHTON PARK, IL 60471
",02/01/2017
145437,COLONIAL HLTHCARE & REHAB CTR,IL,4,,4,,3,,2,,4,,"515 BUREAU VALLEY PARKWAY
PRINCETON, IL 61356
",02/01/2017
145438,COLLINSVILLE REHABILITATION & HEALTH CARE CENTER,IL,1,,1,,2,,1,,2,,"614 NORTH SUMMIT
COLLINSVILLE, IL 62234
",02/01/2017
145439,CHAMPAIGN URBANA NRSG & REHAB,IL,1,,1,,3,,2,,4,,"302 WEST BURWASH
SAVOY, IL 61874
",02/01/2017
145442,TOULON REHAB & HEALTH CARE CENTER,IL,1,,3,,1,,1,,2,,"209 TOULON
IL 61483
",02/01/2017
145552,FAIRFIELD MEMORIAL HOSPITAL,IL,5,,5,,4,,5,,5,,,02/01/2017
145555,EDWARDSVILLE NURSING & REHABILITATION CENTER,IL,1,,2,,1,,1,,2,,"401 ST MARY DRIVE
EDWARDSVILLE, IL 62025
",02/01/2017
145566,ALTON MEM HSP HATCH SK N W,IL,3,,3,,1,,5,,5,,"ONE MEMORIAL DRIVE
ALTON, IL 62002
",02/01/2017
145571,CEDAR RIDGE HEALTH REHAB CENTER,IL,2,,1,,5,,3,,2,,"ONE PERRYMAN STREET
LEBANON, IL 62254
",02/01/2017
145643,BLESSING HOSPITAL SNU,IL,3,,4,,1,,,Data Not Available,,Data Not Available,"BROADWAY
QUINCY, IL 62301
",02/01/2017
145656,INTEGRITY HC OF GODFREY,IL,2,,3,,3,,1,,2,,"1623 29 WEST
GODFREY, IL 62035
",02/01/2017
145660,WESTCHESTER HEALTH & REHABILITATION,IL,1,,1,,2,,,Data Not Available,,Data Not Available,"2901 SOUTH WOLF ROAD
WESTCHESTER, IL 60154
",02/01/2017
145667,AVANTARA PARK RIDGE,IL,5,,4,,5,,4,,5,,"1601 NORTH WESTERN AVENUE
PARK RIDGE, IL 60068
",02/01/2017
145681,PROVIDENCE PALOS HEIGHTS,IL,3,,2,,3,,4,,5,,"13259 SOUTH CENTRAL AVENUE
PALOS HEIGHTS, IL 60463
",02/01/2017
145708,COUNTRY HEALTH,IL,4,,3,,2,,4,,4,,"2304 C R
GIFFORD, IL 61847
",02/01/2017
145718,SYMPHONY OF CRESTWOOD,IL,1,,1,,4,,2,,3,,"14255 SOUTH CICERO AVENUE
CRESTWOOD, IL 60445
",02/01/2017
145783,SUNRISE SKILLED NURSING & REHAB,IL,5,,4,,5,,3,,3,,"333 SOUTH WRIGHTSMAN STREET
VIRDEN, IL 62690
",02/01/2017
145784,BRIAR PLACE,IL,1,,1,,4,,1,,2,,"6800 WEST JOLIET
INDIAN HEAD PARK, IL 60525
",02/01/2017
145791,FIRESIDE HOUSE OF CENTRALIA,IL,2,,3,,1,,3,,4,,"1030 MARTIN LUTHER KING BLVD
CENTRALIA, IL 62801
",02/01/2017
145819,SYMPHONY OF BUFFALO GROVE,IL,5,,4,,5,,2,,3,,"150 NORTH WEILAND ROAD
BUFFALO GROVE, IL 60089
",02/01/2017
145836,SHELBYVILLE REHAB & HLTH C CTR,IL,5,,4,,5,,2,,1,,"2116 SOUTH 3RD DACEY DRIVE
SHELBYVILLE, IL 62565
",02/01/2017
145840,TABOR HILLS HEALTH CARE FAC,IL,5,,4,,5,,5,,5,,"1347 CRYSTAL COURT
NAPERVILLE, IL 60563
",02/01/2017
145877,APERION CARE DOLTON,IL,2,,3,,3,,1,,1,,"14325 SOUTH BLACKSTONE
DOLTON, IL 60419
",02/01/2017
145905,JONESBORO REHAB & HCC,IL,3,,2,,2,,4,,4,,"127 PO
JONESBORO, IL 62952
",02/01/2017
145918,APERION CARE BRIDGEPORT,IL,1,,2,,1,,3,,3,,"900 EAST CORPORATION
BRIDGEPORT, IL 62417
",02/01/2017
145927,WINDMILL NURSING PAVILION,IL,2,,2,,3,,2,,3,,"16000 SOUTH WABASH
SOUTH HOLLAND, IL 60473
",02/01/2017
145930,GOOD SAMARITAN - PONTIAC,IL,3,,3,,4,,3,,4,,"1225 SOUTH EWING DRIVE
PONTIAC, IL 61764
",02/01/2017
145942,OAK LAWN RESPIRATORY & REHAB,IL,3,,3,,2,,2,,3,,"9525 SOUTH MAYFIELD
OAK LAWN, IL 60453
",02/01/2017
145944,PRESENCE MCAULEY MANOR,IL,4,,4,,2,,3,,5,,"400 WEST SULLIVAN ROAD
AURORA, IL 60506
",02/01/2017
145946,SYMPHONY AT ARIA,IL,2,,1,,5,,4,,4,,"4600 NORTH FRONTAGE ROAD
HILLSIDE, IL 60162
",02/01/2017
145947,APERION CARE MIDLOTHIAN,IL,1,,2,,3,,1,,1,,"3249 WEST 147TH STREET
MIDLOTHIAN, IL 60445
",02/01/2017
145967,WINDSOR ESTATES NSG & REHAB,IL,3,,2,,3,,4,,5,,"18300 S LAVERNG
COUNTRY CLUB HILLS, IL 60478
",02/01/2017
145985,UNIVERSITY NURSING & REHABILITATION,IL,2,,2,,2,,2,,2,,,02/01/2017
146014,MERCY HARVARD HOSPITAL CARE CENTER,IL,5,,5,,5,,5,,5,,"901 SOUTH GRANT
HARVARD, IL 60033
",02/01/2017
146038,PRAIRIE CITY REHAB & H C,IL,1,,1,,2,,,Data Not Available,,Data Not Available,,02/01/2017
146074,MASON POINT,IL,2,,3,,1,,3,,3,,"ONE MASONIC WAY
SULLIVAN, IL 61951
",02/01/2017
146088,HELIA HEALTHCARE OF BENTON,IL,3,,3,,3,,2,,3,,"1310 MARK FRANKLIN LOUIS STREET
BENTON, IL 62812
",02/01/2017
146106,SCOTT COUNTY NURSING CENTER,IL,5,,5,,4,,4,,3,,"2 WINCHESTER
IL 62694
",02/01/2017
146131,CISNE REHABILITATION & HEALTH CENTER,IL,4,,4,,4,,4,,4,,,02/01/2017
146151,"CLAYBERG, THE",IL,4,,3,,2,,4,,5,,"625 EAST MONROE STREET
CUBA, IL 61427
",02/01/2017
146166,GREENFIELDS OF GENEVA,IL,5,,4,,5,,5,,5,,,02/01/2017
146168,WINFIELD WOODS HEALTHCARE CTR,IL,3,,4,,4,,1,,2,,"28 WEST 141 LIBERTY STREET
WINFIELD, IL 60190
",02/01/2017
146171,MANOR COURT OF CARBONDALE,IL,3,,2,,4,,4,,3,,"2940 W WESTRIDGE PLACE
CARBONDALE, IL 62901
",02/01/2017
146173,"SPRINGS AT MONARCH LANDING, THE",IL,5,,4,,2,,5,,5,,"2308 NORTH ROUTE
NAPERVILLE, IL 60563
",02/01/2017
14A539,JENNINGS TERRACE,IL,5,,5,,3,,,Data Not Available,,Data Not Available,"275 SOUTH LASALLE
AURORA, IL 60505
",02/01/2017
14E212,FRANKFORT TERRACE NURSING CTR,IL,3,,3,,5,,1,,1,,"40 NORTH SMITH
FRANKFORT, IL 60423
",02/01/2017
14E847,APERION CARE SPRINGFIELD,IL,2,,1,,5,,1,,2,,"525 SO MARTIN LUTHER KING DR
SPRINGFIELD, IL 62703
",02/01/2017
375545,TOWN OF VICI NURSING HOME,OK,4,,4,,3,,4,,3,,"619 SPECK
VICI, OK 73859
(36.151139, -99.302412)",02/01/2017
155233,"WATERS OF BATESVILLE, THE",IN,3,,2,,2,,4,,3,,"958 E HWY
BATESVILLE, IN 47006
",02/01/2017
155240,LYONS HEALTH AND LIVING CENTER,IN,3,,3,,4,,3,,5,,"2417 S COUNTY ROAD
LYONS, IN 47443
",02/01/2017
155322,RENAISSANCE VILLAGE,IN,2,,2,,4,,3,,4,,"6050 S CR
FORT WAYNE, IN 46814
",02/01/2017
155331,LIFE CARE CENTER OF VALPARAISO,IN,4,,3,,5,,3,,4,,"3405 N CAMPBELL RD
VALPARAISO, IN 46385
",02/01/2017
155502,TRANSCENDENT HEALTHCARE OF OWENSVILLE,IN,4,,3,,3,,4,,4,,"369 OWENSVILLE
IN 47665
",02/01/2017
155557,MILLER'S MERRY MANOR,IN,4,,3,,5,,3,,5,,"1651 N CAMPBELL ST
INDIANAPOLIS, IN 46218
",02/01/2017
155572,APERION CARE DEMOTTE,IN,1,,1,,1,,2,,3,,"10352 N 600 E COUNTY LINE RD
DEMOTTE, IN 46310
",02/01/2017
155628,BRIARWOOD HEALTH AND REHABILITATION CENTER,IN,1,,1,,2,,3,,3,,"3640 N CENTRAL AVE
INDIANAPOLIS, IN 46205
",02/01/2017
155688,FREELANDVILLE COMMUNITY HOME,IN,5,,4,,5,,5,,5,,"310 W CARLISLE ST
FREELANDVILLE, IN 47535
",02/01/2017
155700,CATHERINE KASPER HOME,IN,5,,3,,5,,5,,5,,"9601 S UNION RD
DONALDSON, IN 46513
",02/01/2017
155745,HOLY CROSS VILLAGE AT NOTRE DAME INC,IN,5,,5,,3,,5,,5,,"303 NOTRE
DAME, IN 46556
",02/01/2017
155754,HUBBARD HILL ESTATES INC,IN,5,,3,,5,,5,,5,,"28070 CR
ELKHART, IN 46517
",02/01/2017
155772,COBBLESTONE CROSSINGS HEALTH CAMPUS,IN,3,,3,,4,,3,,2,,"1850 E HOWARD WAYNE DR
TERRE HAUTE, IN 47802
",02/01/2017
155802,PROVIDENCE HEALTH CARE CENTER,IN,5,,4,,4,,5,,5,,"1 SISTERS
SAINT MARY OF THE WO, IN 47876
",02/01/2017
155806,WELLBROOKE OF WABASH,IN,4,,3,,3,,4,,4,,"20 JOHN KISSINGER DRIVE
WABASH, IN 46992
",02/01/2017
155822,CEDAR CREEK HEALTH CAMPUS,IN,2,,2,,1,,4,,3,,"18275 BURR STREET
LOWELL, IN 46356
",02/01/2017
155824,WELLBROOKE OF SOUTH BEND,IN,3,,3,,1,,4,,4,,"52565 STATE ROAD
SOUTH BEND, IN 46637
",02/01/2017
155827,SAGE BLUFF HEALTH & REHAB CENTER LLC,IN,2,,1,,4,,4,,5,,"4180 SAGE BLUFF CROSSING
FORT WAYNE, IN 46804
",02/01/2017
155844,SYMPHONY OF CHESTERTON LLC,IN,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"2775 VILLAGE POINT
CHESTERTON, IN 46304
",02/01/2017
155846,GREEN HOUSE COTTAGES OF CARMEL,IN,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"616 GREEN HOUSE WAY
CARMEL, IN 46032
",02/01/2017
155850,BELLTOWER HEALTH & REHABILITATION CENTER,IN,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"5805 NORTH FIR ROAD
GRANGER, IN 46530
",02/01/2017
155852,HARRISON SPRINGS HEALTH CAMPUS,IN,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"871 PACER DRIVE NW
CORYDON, IN 47112
",02/01/2017
165178,AASE HAUGEN HOME,IA,5,,3,,5,,4,,4,,"FOUR OHIO STREET
DECORAH, IA 52101
",02/01/2017
165251,RAVENWOOD SPECIALTY CARE,IA,1,,1,,1,,3,,3,,"2651 ST FRANCIS DRIVE
WATERLOO, IA 50702
",02/01/2017
165281,ON WITH LIFE AT GLENWOOD,IA,5,,4,,5,,5,,5,,"714 SOUTH LACEY
GLENWOOD, IA 51534
",02/01/2017
165292,BEDFORD SPECIALTY CARE,IA,3,,4,,3,,1,,1,,"1005 WEST PEARL
BEDFORD, IA 50833
",02/01/2017
165300,LAPORTE CITY SPECIALTY CARE,IA,5,,4,,5,,2,,3,,"1100 HWY
LA PORTE CITY, IA 50651
",02/01/2017
395741,RIDDLE MEMORIAL HOSP HB SNF,PA,4,,4,,3,,,Data Not Available,,Data Not Available,"1 MEDIA
PA 19063
(39.977116, -75.303046)",02/01/2017
165404,NEW LONDON SPECIALTY CARE,IA,2,,3,,2,,1,,2,,"100 CARE CENTER CIRCLE STREET
NEW LONDON, IA 52645
",02/01/2017
165524,BETHANY LUTHERAN HOME,IA,3,,2,,4,,4,,3,,"SEVEN ELLIOTT STREET
COUNCIL BLUFFS, IA 51503
",02/01/2017
165549,VISTA WOODS CARE CENTER,IA,4,,3,,4,,4,,5,,"THREE PENNSYLVANIA PLACE
OTTUMWA, IA 52501
",02/01/2017
165566,"HIGHLAND RIDGE CARE CENTER, LLC",IA,5,,5,,3,,5,,5,,"102 HIGHLAND CIRCLE
WILLIAMSBURG, IA 52361
",02/01/2017
165595,"AKRON  CARE CENTER, INC",IA,5,,4,,5,,,Data Not Available,,Data Not Available,"991 HIGHWAY
AKRON, IA 51001
",02/01/2017
16E728,MERCY MEDICAL CENTER-CENTERVILLE,IA,4,,4,,3,,3,,2,,"ONE ST JOSEPH DRIVE
CENTERVILLE, IA 52544
",02/01/2017
16E745,THE BRIDGES AT ANKENY,IA,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,,Too New to Rate,"3510 NORTHWEST ABILENE ROAD
ANKENY, IA 50023
",02/01/2017
175158,GARDEN TERRACE AT OVERLAND PARK,KS,5,,4,,5,,4,,4,,"7541 SWITZER ROAD
OVERLAND PARK, KS 66214
",02/01/2017
175210,GOOD SAMARITAN SOCIETY - PARSONS,KS,4,,3,,3,,4,,4,,"709 LEAWOOD AVENUE
PARSONS, KS 67357
",02/01/2017
175258,MEDICALODGES FORT SCOTT,KS,4,,3,,4,,4,,4,,"915 S HORTON
FORT SCOTT, KS 66701
",02/01/2017
175267,SHAWNEE GARDENS HEALTHCARE & REHAB CENTER,KS,1,,1,,3,,3,,3,,"6416 LONG STREET
SHAWNEE, KS 66216
",02/01/2017
175291,GREAT BEND HEALTH & REHAB CENTER,KS,1,,1,,2,,3,,3,,"1560 K 96 HWY
GREAT BEND, KS 67530
",02/01/2017
175508,MAPLE HEIGHTS NURSING & REHABILITATION CENTER,KS,4,,3,,5,,,Data Not Available,,Data Not Available,"2 E IOWA STREET
HIAWATHA, KS 66434
",02/01/2017
175516,KANSAS VETERANS HOME,KS,1,,2,,1,,3,,2,,"1220 WORLD WAR II MEMORIAL DRIVE
WINFIELD, KS 67156
",02/01/2017
175524,"WALLACE COUNTY COMMUNITY CARE CENTER, INC",KS,4,,3,,2,,5,,5,,"608 N KENNEDY
SHARON SPRINGS, KS 67758
",02/01/2017
175538,PHILLIPS COUNTY RETIREMENT CENTER,KS,2,,1,,2,,4,,4,,"628 PHILLIPSBURG
KS 67661
",02/01/2017
